http://www.clarin.com//rn/literatura/Merecido-Tato-Bores-Good-Show_0_1130887196.html,,_,2014-05-02,,,,"Merecido homenaje a Tato Bores: risas, emoción y ¡Good Show!",
http://www.clarin.com//politica/nafta-volvio-subir-super-acumula_0_1130887012.html,,GOLPE AL BOLSILLO,2014-05-02,,,,La nafta volvió a subir y la súper acumula 32% en el año,
http://www.clarin.com//deportes/futbol/boca-juniors/Roman-renovarle_0_1130887076.html,,OPINIÓN,2014-05-02,,,,A Román hay que renovarle ya,
http://www.clarin.com//policiales/Quedo-Gordo-Valor-cumplir-condena_0_1130887035.html,,BAJO “LIBERTAD ASISTIDA“,2014-05-02,,,,"Quedó libre “El Gordo“ Valor, a seis meses de cumplir su condena",
http://www.clarin.com//policiales/Far-West-muerte-pueblo-Provincia_0_1130887037.html,,"TRAGEDIA EN NAPALEOFÚ, CERCA DE TANDIL",2014-05-02,,,,Un duelo del Far West y muerte en un pueblo de la Provincia,
http://www.clarin.com//deportes/futbol/boca-juniors/Presion-hinchas-Riquelme-banderazo_0_1130887038.html,,UNAS 5 MIL PERSONAS SE JUNTARON EN LA BOMBONERA PARA EXIGIR LA CONTINUIDAD DEL ÍDOLO DE BOCA,2014-05-02,,,,Presión de los hinchas por Riquelme con un banderazo,
http://www.clarin.com//politica/Replica-opositora-apoyo-oficialista-penas_0_1130886936.html,,DEBATE POR LA INSEGURIDAD,2014-05-02,,,,Réplica opositora por el apoyo oficialista a la baja de penas,
http://www.clarin.com//deportes/especialista-milagros_0_1130887044.html,,"DE NUEVO BRILLÓ EN LOS PENALES, QUE ESTA VEZ CLASIFICARON A SAN LORENZO A CUARTOS DE FINAL",2014-05-02,,,,Torrico: El especialista en milagros,
http://www.clarin.com//mundo/Uruguay-produccion-marihuana-doble_0_1130886962.html,,NUEVA LEGISLACIÓN SOBRE LA DROGA,2014-05-02,,,,Uruguay: la producción de marihuana sería el doble que la de 2013,
http://www.clarin.com//deportes/Simeone-mundo-pies_0_1130887054.html,,LIGA DE CAMPEONES DE EUROPA,2014-05-02,,,,"Simeone: El mundo, a sus pies",
http://www.clarin.com//politica/Reactivan-causa-juez-apunta-funcionarios_0_1132686727.html,,SOSPECHAS DE CORRUPCIÓN,2014-05-05,,,,Reactivan la causa y el juez apunta contra los funcionarios,
http://www.clarin.com//mundo/Asesinaron-custodio-Maduro-concejal_0_1132686753.html,,LA CRISIS VENEZOLANA,2014-05-05,,,,Asesinaron a un custodio de Maduro y a un concejal,
http://www.clarin.com//educacion/llevo-previas-paso-orden-Justicia_0_1132686763.html,,EDUCACIÓN,2014-05-05,,,,"Se llevó tres previas, pero pasó de año por orden de la Justicia",
http://www.clarin.com//ciudades/extra-subio-circulacion-camiones-autopistas_0_1132686781.html,,TRÁNSITO,2014-05-05,,,,"Sin el peaje extra, subió un 50% la circulación de camiones en autopistas",
http://www.clarin.com//deportes/futbol/river-plate/punta_0_1132686841.html,,RIVER 3 - RACING 2,2014-05-05,,,,De punta a punta,
http://www.clarin.com//deportes/futbol/boca-juniors/Boca-hundio-All-Boys-infierno_0_1132686858.html,,ALL BOYS 1 - BOCA 3,2014-05-05,,,,El Boca que renace hundió a All Boys en el infierno,
http://www.clarin.com//politica/centroizquierda-lanzo-frente-pelea-presidencial_0_1125487448.html,,PRESENTACIÓN DEL FRENTE AMPLIO-UNEN,2014-04-23,,,,La centroizquierda lanzó su frente y  se metió en la pelea presidencial,
http://www.clarin.com//policiales/Detuvieron-Aeroparque-empleados-abrevalijas_0_1125487528.html,,PERTENECEN A UNA EMPRESA QUE MANEJA LAS RAMPAS DE AEROLÍNEAS ARGENTINAS Y AUSTRAL,2014-04-23,,,,Detuvieron en Aeroparque a seis empleados “abrevalijas”,
http://www.clarin.com//ciudades/toma-Villa-Lugano-construcciones-material_0_1125487518.html,,MAÑANA SE CUMPLEN DOS MESES DE LA OCUPACIÓN DEL PREDIO VECINO A LA VILLA 20,2014-04-23,,,,En la toma de Villa Lugano ya hay construcciones de material,
http://www.clarin.com//ciudades/jueza-recibio-vecinos_0_1125487517.html,,_,2014-04-23,,,,La jueza recibió a los vecinos,
http://www.clarin.com//deportes/futbol/river-plate/Recambio-made-in-Nunez_0_1125487530.html,,FÚTBOL LOCAL,2014-04-23,,,,Recambio made in Núñez,
http://www.clarin.com//sociedad/Aumenta-numero-casos-colesterol-edad_0_1125487443.html,,_,2014-04-23,,,,Aumenta el número de casos de colesterol alto a baja edad,
http://www.clarin.com//ciudades/maquinista-frenos-andaban-afirmo-sobreviviente_0_1125487511.html,,UN JUICIO HISTÓRICO,2014-04-23,,,,"“El maquinista decía que los frenos no andaban”, afirmó una sobreviviente",
http://www.clarin.com//policiales/Cansados-asaltos-vecinos-cerraron-calle_0_1127287414.html,,INSEGURIDAD,2014-04-26,,,,"Cansados de los asaltos, los vecinos cerraron una calle",
http://www.clarin.com//mundo/Francisco-Juan-Pablo-II-XXIII_0_1127887258.html,,HISTÓRICA CANONIZACIÓN EN EL VATICANO,2014-04-27,,,,El día de los cuatro papas: Francisco proclama santos a Juan Pablo II y a Juan XXIII,
http://www.clarin.com//ciudades/Sacaron-marquesinas-avenidas-sigue-peligro_0_1127287407.html,,ESPACIO PÚBLICO,2014-04-26,,,,"Sacaron 1.800 marquesinas en avenidas, pero sigue el peligro",
http://www.clarin.com//sociedad/Atracones-series-cambia-modo-TV_0_1127287389.html,,ENTRETENIMIENTO EN CASA,2014-04-26,,,,"El nuevo espectador: Atracones de series, un boom que cambia el modo de ver TV",
http://www.clarin.com//politica/Oyarbide-declaro-bienes-millon-investigarlo_0_1127287355.html,,POLÉMICA POR LA “AUSTERA” DECLARACIÓN JURADA DE BIENES DEL MAGISTRADO PROTEGIDO POR EL GOBIERNO,2014-04-26,,,,"Oyarbide declaró bienes por sólo $ 1,2 millón y piden investigarlo",
http://www.clarin.com//politica/Despues-criticas-nuevo-proyecto-antipiquetes_0_1127287348.html,,EL KIRCHNERISMO REIMPULSA EL DEBATE POR INTERVENIR EN CONFLICTOS CALLEJEROS,2014-04-26,,,,"Después de las críticas, un nuevo proyecto K antipiquetes",
http://www.clarin.com//politica/pobreza-veces-mayor-dice-INDEC_0_1127287336.html,,ESTADÍSTICAS BAJO SOSPECHA,2014-04-26,,,,La pobreza sería cinco veces mayor a la que dice el INDEC,
http://www.clarin.com//politica/Criticas-Gobierno-quejas-cifras-oficiales_0_1127287339.html,,Estadísticas bajo sospecha,2014-04-26,,,,Críticas al Gobierno y quejas por la falta de cifras oficiales,
http://www.clarin.com//policiales/Fria-iman-atrae-narcos-colombianos_0_1127887292.html,,NARCOTRÁFICO,2014-04-27,,,,"“La Fría”, el imán que atrae a los narcos colombianos",
http://www.clarin.com//ciudades/Peligro-autopista-Illia-crecimiento-Villa_0_1127887285.html,,LA SITUACIÓN SOCIAL,2014-04-27,,,,Peligro en la autopista Illia por el crecimiento de la Villa 31,
http://www.clarin.com//politica/Iglesia-crecimiento-concentro-pocas-manos_0_1127887243.html,,DEBATE POR LAS CIFRAS OFICIALES DE LA POBREZA,2014-04-27,,,,"Para la Iglesia, el crecimiento se concentró en pocas manos",
http://www.clarin.com//politica/negocios-Cristobal-Lopez-directivos-Loteria_0_1127887233.html,,SOSPECHAS DE CORRUPCIÓN,2014-04-27,,,,"Por negocios de Cristóbal López, imputan a directivos de Lotería",
http://www.clarin.com//deportes/futbol/independiente/Independiente-volvio-triunfo-nervios-inseguridades_0_1129087167.html,,SUPERÓ 3 A 2 A SPORTIVO BELGRANO EN AVELLANEDA CON UN PENAL POLÉMICO A SOLO 10 MINUTOS DEL FINAL,2014-04-29,,,,Independiente volvió al triunfo entre nervios e inseguridades,
http://www.clarin.com//espectaculos/tv-y-radio/Exploto-pantalla_0_1129087241.html,,_,2014-04-29,,,,“ShowMatch”: explotó la pantalla,
http://www.clarin.com//sociedad/patota-chicas-alumna-salir-colegio_0_1129087083.html,,EL CRIMEN DE NAIRA,2014-04-29,,,,Una patota de chicas mató a la alumna al salir del colegio,
http://www.clarin.com//politica/Reunion-ministerial-Brasilia-tratar-automotriz_0_1129087093.html,,LA ESTRATEGIA K / ¿CRÉDITOS PARA FINANCIAR EXPORTACIONES?,2014-04-29,,,,Reunión ministerial en Brasilia para tratar la crisis automotriz,
http://www.clarin.com//politica/Gobierno-devolvera-minima-porcion-retenciones_0_1129087095.html,,CRISTINA KIRCHNER CONFIRMÓ AYER UN ANTICIPO DE CLARÍN,2014-04-29,,,,El Gobierno devolverá una mínima porción de las retenciones al trigo,
http://www.clarin.com//ciudades/Impulsan-proyecto-pueda-fumar-manejar_0_1129087154.html,,SEGURIDAD VIAL,2014-04-29,,,,Impulsan un proyecto para que no se pueda fumar al manejar,
http://www.clarin.com//policiales/Motochorros-asesinaron-tiros-turista-australiano_0_1129087159.html,,INSEGURIDAD,2014-04-29,,,,Motochorros asesinaron a tiros a un turista australiano,
http://www.clarin.com//policiales/Atrapan-pincharruedas-robaron-pesos_0_1126087476.html,,SAN TELMO,2014-04-24,,,,Atrapan a 2 pincharruedas que robaron 18.000 pesos,
http://www.clarin.com//politica/Kicillof-INDEC-publicar-nacional-pobreza_0_1126087416.html,,EL MINISTRO QUISO EVITAR MÁS CRÍTICAS POR LA EVIDENTE MANIPULACIÓN DE LOS DATOS,2014-04-24,,,,Kicillof ordenó al INDEC no publicar el último dato nacional de pobreza,
http://www.clarin.com//deportes/futbol/lanus/Lanus-armo-fiesta-Mexico-cuartos_0_1126087502.html,,COPA LIBERTADORES,2014-04-24,,,,Lanús armó una fiesta en México y está en cuartos,
http://www.clarin.com//deportes/Ahora-buscan-unidad_0_1126087516.html,,INDEPENDIENTE,2014-04-24,,,,La renuncia de Cantero: Ahora buscan la unidad,
http://www.clarin.com//policiales/Sigue-creciendo-delito-Provincia-hora_0_1126087387.html,,INSEGURIDAD,2014-04-24,,,,Sigue creciendo el delito en la Provincia: hay 82 por hora,
http://www.clarin.com//politica/Gobierno-recibio-ataque-Frente-UNEN_0_1126087392.html,,LA UNIDAD DEL ESPACIO NO PERONISTA,2014-04-24,,,,El Gobierno recibió con un duro ataque al Frente UNEN,
http://www.clarin.com//sociedad/adolescente-repente-medio-torneo-colegial_0_1126087444.html,,OTRA VEZ LA MUERTE SÚBITA,2014-04-24,,,,Un adolescente de 14 años murió de repente en medio de un torneo colegial,
http://www.clarin.com//deportes/futbol/san-lorenzo/Correa-San-Lorenzo-Brasil-valiosa_0_1126087498.html,,"LA DEFINICIÓN DEL JUVENIL LE SIRVIÓ AL EQUIPO DE BAUZA PARA VENCER A GREMIO CON LO JUSTO, EN LA IDA DE OCTAVOS",2014-04-24,,,,Correa gritó y San Lorenzo irá a Brasil con una ventaja valiosa,
http://www.clarin.com//policiales/Naira-jovenes-murieron-mes_0_1129687028.html,,VIOLENCIA SIN FRENO,2014-04-30,,,,"Con Naira, ya son 3 los jóvenes que murieron durante este mes",
http://www.clarin.com//policiales/buscaban-llevarse-hijo-baleo-policia_0_1129687107.html,,VIOLENCIA EN EL CONURBANO,2014-04-30,,,,Lo buscaban por llevarse a su hijo y fusiló al policía que quiso detenerlo,
http://www.clarin.com//politica/Techint-dice-subre-extorsion-camioneros_0_1126687411.html,,MEDIDA DE FUERZA GREMIAL,2014-04-25,,,,"Al cumplirse el 5° día de bloqueo, Techint denuncia que sufre una ""extorsión"" del gremio de Moyano",
http://www.clarin.com//politica/Ciudad-interbloque-fracaso-traspaso-ESMA_0_1126687395.html,,ESCÁNDALO E INSULTOS EN LA LEGISLATURA PORTEÑA,2014-04-25,,,,Ciudad: se quebró el interbloque K y fracasó el traspaso de la ex ESMA,
http://www.clarin.com//politica/Narcotrafico-Berni-admitio-existen-clandestinas_0_1126687396.html,,POLÉMICAS EN EL CONGRESO,2014-04-25,,,,Narcotráfico: Berni admitió que existen 500 pistas clandestinas,
http://www.clarin.com//mundo/Vaticano-tono-llamadas-telefonicas-Papa_0_1126687422.html,,LA SANTA SEDE,2014-04-25,,,,El Vaticano le baja el tono a las llamadas telefónicas del Papa,
http://www.clarin.com//sociedad/compras-tarjeta-cuestan-efectivo_0_1126687451.html,,CONSUMO & AHORRO,2014-04-25,,,,Las compras con tarjeta ya cuestan entre 10 y 40% más que en efectivo,
http://www.clarin.com//espectaculos/cine/Julieta-Diaz-barrio_0_1126687514.html,,TELEVISIÓN,2014-04-25,,,,"Julieta Díaz: ""Yo soy de barrio""",
http://www.clarin.com//mundo/Arrestan-capitan-ferry-abandonado-puesto_0_1123087775.html,,TRAGEDIA EN EL MAR,2014-04-18,,,,Arrestan al capitán del ferry: había abandonado su puesto,
http://www.clarin.com//politica/Pese-criticas-propios-Cristina-antipiquetes_0_1123087756.html,,GIRO DEL OFICIALISMO TRAS DIEZ AÑOS DE AVALAR LOS CORTES,2014-04-18,,,,"Pese a las críticas de los propios K, Cristina apura la ley antipiquetes",
http://www.clarin.com//politica/protesta-ruta-recibio-Presidenta-Calafate_0_1123087755.html,,TENSIÓN EN SANTA CRUZ,2014-04-18,,,,Una protesta en la ruta recibió a la Presidenta en El Calafate,
http://www.clarin.com//politica/Duro-mensaje-obispos-avance-linchamientos_0_1123087752.html,,PREOCUPACIÓN DE LA IGLESIA,2014-04-18,,,,Duro mensaje de los obispos contra el avance narco y los linchamientos,
http://www.clarin.com//politica/Gils-Carbo-fiscales-desaparecio-dinero_0_1123087746.html,,SUPUESTO ROBO EN EL EDIFICIO DE LOS ENCARGADOS DE INVESTIGAR LOS DELITOS,2014-04-18,,,,"A Gils Carbó, la jefa de los fiscales, le desapareció dinero",
http://www.clarin.com//politica/Arranca-investigacion-enriquecimiento-ilicito-Liuzzi_0_1123087743.html,,FUNCIONARIOS EN PROBLEMAS CON LA JUSTICIA,2014-04-18,,,,Arranca la investigación por enriquecimiento ilícito a Liuzzi,
http://www.clarin.com//policiales/Marcha-vecinos-Lanus_0_1123687740.html,,INSEGURIDAD,2014-04-19,,,,Marcha de vecinos en Lanús,
http://www.clarin.com//policiales/Buscan-depravado-sexual-asesinato-Marisol_0_1123687737.html,,GIRO INESPERADO EN UN CASO MISTERIOSO,2014-04-19,,,,Crimen en Saladillo: Buscan a un depravado sexual por el asesinato de Marisol,
http://www.clarin.com//ciudades/daban-perdida-vuelve-calesita-plazas_0_1123687730.html,,ESPACIO PÚBLICO,2014-04-19,,,,"Cuando ya la daban por perdida, vuelve la calesita a las plazas",
http://www.clarin.com//sociedad/anos-cayo-decimo-piso-salvo_0_1123687720.html,,MILAGRO EN PUNTA DEL ESTE,2014-04-19,,,,Un nene de dos años cayó desde un décimo piso y se salvó,
http://www.clarin.com//sociedad/Mar-Plata-furor-exposicion-Francisco_0_1123687714.html,,_,2014-04-19,,,,Mar del Plata está a pleno y hay furor por la exposición del papa Francisco,
http://www.clarin.com//sociedad/Profesionales-hijos-dispuestas-dar-sobrinos_0_1123687710.html,,TENDENCIA,2014-04-19,,,,"Las tías “PANK”: profesionales y sin hijos, están dispuestas a dar todo por sus sobrinos",
http://www.clarin.com//mundo/complican-tareas-rescate-hundido-Surcorea_0_1123687686.html,,TRAGEDIA EN EL MAR,2014-04-19,,,,Se complican las tareas de rescate del ferry hundido en Surcorea,
http://www.clarin.com//mundo/Secretos-San-Francisco-antiguo-Roma_0_1123687682.html,,SEMANA SANTA,2014-04-19,,,,"Secretos de San Francisco, en el barrio más antiguo de Roma",
http://www.clarin.com//politica/Advierten-antipiquetes-contradice-Codigo-Penal_0_1123687673.html,,SIGUEN LAS CRÍTICAS AL PROYECTO OFICIALISTA PARA AVALAR LAS PROTESTAS EN LA CALLE,2014-04-19,,,,Advierten que la ley antipiquetes contradice al Código Penal,
http://www.clarin.com//politica/escandalo-peligran-negocios-millonarios-Zannini_0_1123687668.html,,SOSPECHAS DE CORRUPCIÓN,2014-04-19,,,,"Por el escándalo, peligran negocios millonarios en el área de Zannini",
http://www.clarin.com//politica/EEUU-Argentina-frente-fondos-buitre_0_1124887507.html,,AUDIENCIA EN WASHINGTON,2014-04-22,,,,EE.UU. apoyó a la Argentina frente a los fondos buitre,
http://www.clarin.com//espectaculos/tv-y-radio/nuevo-superclasico-TV_0_1124887617.html,,TELEVISIÓN,2014-04-22,,,,El nuevo superclásico de la TV,
http://www.clarin.com//deportes/Dock-Sud-autos-quemados-espanto_0_1124887603.html,,VIOLENCIA EN EL FÚTBOL,2014-04-22,,,,Dock Sud: autos quemados y todo el espanto,
http://www.clarin.com//ieco/empresarios-reclamaron-plan-combatir-inflacion_0_1124887536.html,,"ACUERDO INÉDITO ENTRE INDUSTRIALES, BANQUEROS Y PRODUCTORES DEL CAMPO",2014-04-22,,,,Los empresarios reclamaron un plan para combatir la inflación,
http://www.clarin.com//deportes/futbol/gimnasia-lp/Gimnasia-hace-punta_0_1124887585.html,,GIMNASIA 2 - ALL BOYS 1,2014-04-22,,,,Gimnasia también hace punta,
http://www.clarin.com//sociedad/Gracias-implante-inedito-volvio-escuchar_0_1124887558.html,,ES EL PRIMER CASO EN LATINOAMÉRICA Y SE HIZO EN EL HOSPITAL ITALIANO,2014-04-22,,,,"Gracias a un implante inédito, un bebé de 7 meses volvió a escuchar",
http://www.clarin.com//deportes/futbol/independiente/Independiente-dormido-recupera_0_1124887581.html,,FLOJA PRESENTACIÓN DEL EQUIPO DE DE FELIPPE EN MISIONES: SUMÓ UNA NUEVA CAÍDA Y QUEDÓ QUINTO,2014-04-22,,,,Independiente está dormido y no se recupera,
http://www.clarin.com//policiales/Saladillo-Marisol-golpeada-estrangulada-pastizal_0_1121887901.html,,UN CASO MISTERIOSO,2014-04-17,,,,Saladillo: Marisol fue golpeada y estrangulada en un pastizal,
http://www.clarin.com//mundo/desaparecidos-naufragio-ferry-Surcorea_0_1121887859.html,,TRAGEDIA MARÍTIMA,2014-04-17,,,,Casi 300 desaparecidos por el naufragio del ferry en Surcorea,
http://www.clarin.com//sociedad/chica-vivio-mitad-esclavizada-garaje_0_1121887888.html,,_,2014-04-17,,,,Una chica de 15 vivió más de la mitad de su vida esclavizada en un garaje,
http://www.clarin.com//deportes/carta-Cristina-Araujo-renuncio-FPT_0_1121887927.html,,FÚTBOL LOCAL,2014-04-17,,,,"Con una carta a Cristina, Araujo renunció a FPT",
http://www.clarin.com//ieco/economia/personal-domestico-ART-vacaciones-cuentas_0_1121887824.html,,UN CAMBIO QUE AFECTA A MILES DE HOGARES,2014-04-17,,,,"El personal doméstico, con ART, vacaciones y cuentas sueldo",
http://www.clarin.com//politica/Reabrieron-causa-enriquecimiento-Zannini_0_1121887829.html,,AUMENTO DE LA FORTUNA DE FUNCIONARIOS K,2014-04-17,,,,Reabrieron una causa por enriquecimiento contra el dos de Zannini,
http://www.clarin.com//politica/kirchnerismo-ahora-quiere-prohibir-piquetes_0_1121887835.html,,EL OFICIALISMO PRESENTÓ UN PROYECTO PARA EVITAR LOS CORTES DE CALLES,2014-04-17,,,,El kirchnerismo ahora quiere una ley para prohibir los piquetes,
http://www.clarin.com//deportes/futbol/independiente/Independiente-infierno-temido_0_1121287946.html,,OTRA VEZ CORRIERON RUMORES SOBRE LA RENUNCIA DE CANTERO; EL OFICIALISMO ACEPTÓ ADELANTAR LAS ELECCIONES CUANTO ANTES,2014-04-16,,,,Independiente: El infierno tan temido,
http://www.clarin.com//espectaculos/teatro/hago-riesgo_0_1121287995.html,,TEATRO,2014-04-16,,,,“Todo lo que hago tiene riesgo”,
http://www.clarin.com//policiales/Saladillo-hallan-asesinada-sospechan-marido_0_1121287943.html,,TENÍA 38 AÑOS Y TRES HIJOS,2014-04-16,,,,Saladillo: hallan asesinada a una mujer y sospechan de su marido,
http://www.clarin.com//policiales/Matan-ladron-quiso-robarles-autopista_0_1121287939.html,,INSEGURIDAD,2014-04-16,,,,Matan a un ladrón que quiso robarles al bajar de la autopista,
http://www.clarin.com//sociedad/Murio-Eliseo-Veron-semiologo-ideologia_0_1121287924.html,,"A LOS 78 AÑOS, EN ITALIA",2014-04-16,,,,"Murió Eliseo Verón, el semiólogo de la ideología y los medios",
http://www.clarin.com//ieco/economia/Vuelven-dudas-datos-inflacion-INDEC_0_1121287863.html,,EL COSTO DE VIDA,2014-04-16,,,,Vuelven las dudas sobre los datos de inflación del INDEC,
http://www.clarin.com//politica/Corte-Suprema-marca-limites-Gobierno_0_1121287870.html,,UN MENSAJE A LA CASA ROSADA,2014-04-16,,,,Un fallo de la Corte Suprema le marca límites al Gobierno,
http://www.clarin.com//mundo/Ucrania-desplaza-blindados-fuerzas-rusas_0_1121287898.html,,CRISIS UCRANIANA,2014-04-16,,,,Ucrania desplaza blindados y ataca a fuerzas pro rusas,
http://www.clarin.com//sociedad/Detienen-profesor-acosar-alumna-Web_0_1121287909.html,,ESTUPOR EN UN PUEBLO DE CHUBUT,2014-04-16,,,,Detienen a un profesor por acosar a su alumna en la Web,
http://www.clarin.com//deportes/futbol/river-plate/River-toda-punta-error-virtudes_0_1124287687.html,,RIVER 1 - VÉLEZ 0,2014-04-21,,,,River tiene toda la punta por un error y por sus virtudes,
http://www.clarin.com//deportes/futbol/boca-juniors/juega-Riquelme-Boca-late_0_1124287705.html,,TIGRE 0 - BOCA 1,2014-04-21,,,,"Si juega Riquelme, Boca late",
http://www.clarin.com//politica/kirchnerismo-ahora-podria-cambiar-proyecto_0_1124287637.html,,LA PROTESTA SOCIAL,2014-04-21,,,,El kirchnerismo dice ahora que podría cambiar el proyecto,
http://www.clarin.com//politica/Ledo-comparo-general-Milani-Videla_0_1124287638.html,,_,2014-04-21,,,,La madre de Ledo comparó al general Milani con Videla,
http://www.clarin.com//politica/oposicion-adelanto-rechazo-Congreso_0_1124287639.html,,_,2014-04-21,,,,La oposición adelantó su rechazo en el Congreso,
http://www.clarin.com//sociedad/Latinoamerica-periodismo-amores-Gabo-contagio_0_1124287588.html,,HOY SERÁ HOMENAJEADO EN MÉXICO Y MAÑANA EN COLOMBIA,2014-04-21,,,,"Latinoamérica y el periodismo, los amores que Gabo contagió al mundo",
http://www.clarin.com//sociedad/Maraton-tragico-corrio-kilometros-llegar_0_1124287577.html,,"AYER AL MEDIODÍA, EN EL CENTRO DE LA CIUDAD DE CÓRDOBA",2014-04-21,,,,Maratón trágico: un joven corrió 21 kilómetros y murió al llegar,
http://www.clarin.com//espectaculos/tv-y-radio/Tinelli-Susana-toda-TV-viene_0_1124287619.html,,¿EL 2014 ESTÁ EN PAÑALES?,2014-04-21,,,,"Con Tinelli y Susana, toda la TV que se viene",
http://www.clarin.com//sociedad/Aconsejan-tele-anos-Web-celu_0_1124287573.html,,LOS CHICOS Y LA TECNOLOGÍA,2014-04-21,,,,"Aconsejan la tele a los 3 años, la Web a los 6 y el celu a los 12",
http://www.clarin.com//politica/toco-Anibal-esposa-Jorge-Lanata_0_1124287633.html,,INSEGURIDAD,2014-04-21,,,,Esta vez les tocó a Aníbal F. y a la esposa de Jorge Lanata,
http://www.clarin.com//politica/paro-sindicatos-opositores-sintio-fuerte_0_1118288191.html,,LA HUELGA NACIONAL,2014-04-11,,,,El paro de los sindicatos opositores se sintió fuerte,
http://www.clarin.com//politica/FMI-Gobierno-pidio-volver-negociar_0_1118288210.html,,LA VISIÓN DEL MUNDO SOBRE ARGENTINA,2014-04-11,,,,El FMI dice que el Gobierno pidió volver a negociar,
http://www.clarin.com//sociedad/remedios-suben-crece-venta-genericos_0_1118288241.html,,CONSUMO & AHORRO,2014-04-11,,,,Los remedios suben 6% al mes y crece la venta de genéricos,
http://www.clarin.com//deportes/futbol/San-Nacho_0_1118288274.html,,COPA LIBERTADORES,2014-04-11,,,,"Piatti: ""Estamos para más""",
http://www.clarin.com//inseguridad/horas-calientes-muertos-heridos_0_1117088289.html,,INSEGURIDAD,2014-04-09,,,,Otras 36 horas calientes: dos muertos y cinco heridos,
http://www.clarin.com//politica/fiscal-imputo-Echegaray-enriquecimiento-ilicito_0_1117088299.html,,FUNCIONARIOS EN PROBLEMAS CON LA JUSTICIA,2014-04-09,,,,Un fiscal imputó a Echegaray por enriquecimiento ilícito,
http://www.clarin.com//politica/Tecnopolis-Cristina-aludio-golpizas-barbarie_0_1117088302.html,,ENCABEZÓ EL “ENCUENTRO POR LA PALABRA”,2014-04-09,,,,"En Tecnópolis, Cristina aludió a las golpizas y pidió “no volver a la barbarie”",
http://www.clarin.com//politica/Capitanich-minimizo-suba-gas_0_1117088304.html,,LOS EXPERTOS OPINAN QUE SERÁ MUY DIFÍCIL CUMPLIR LA PAUTA DE AHORRO QUE PROPONE EL GOBIERNO,2014-04-09,,,,Capitanich minimizó la suba del gas,
http://www.clarin.com//ieco/economia/Duro-FMI-llegada-Kicillof-Washington_0_1117088313.html,,LA VISIÓN DEL MUNDO SOBRE ARGENTINA,2014-04-09,,,,Duro informe del FMI antes de la llegada de Kicillof a Washington,
http://www.clarin.com//sociedad/Marita-Veron-penas-anos-acusados_0_1117088342.html,,UN CASO EMBLEMÁTICO DE LA TRATA DE PERSONAS,2014-04-09,,,,Marita Verón: penas de hasta 22 años para los acusados,
http://www.clarin.com//sociedad/dieron-prision-dejar-golpes-mujer_0_1120687976.html,,BRUTAL CASO DE VIOLENCIA DE GÉNERO EN LA PLATA,2014-04-15,,,,Le dieron 8 años de prisión por dejar ciega a golpes a su mujer,
http://www.clarin.com//policiales/motos-deberan-casco-chaleco-identificatorio_0_1120688000.html,,INSEGURIDAD,2014-04-15,,,,En las motos deberán usar casco y chaleco identificatorio,
http://www.clarin.com//policiales/gente-atrapo-ladron-frente-Cabildo_0_1120688003.html,,LE HABÍA ARREBATADO UNA MOCHILA A UNA JOVEN,2014-04-15,,,,La gente atrapó a un ladrón frente al Cabildo tras un robo,
http://www.clarin.com//politica/asesinatos-sombra-narco-Rosario_0_1120687924.html,,NARCOTRÁFICO,2014-04-15,,,,Otros dos asesinatos bajo la sombra narco en Rosario,
http://www.clarin.com//deportes/futbol/river-plate/Ramon-disculpo-Justicia-mira_0_1120688012.html,,LAS POLÉMICAS DECLARACIONES DEL TÉCNICO SOBRE LA BARRA BRAVA RETUMBARON EN TODOS LOS ÁMBITOS,2014-04-15,,,,"Ramón se disculpó, pero la Justicia lo tiene en la mira",
http://www.clarin.com//politica/Milani-debio-investigar-desaparicion-conscripto_0_1120687931.html,,LA POLÍTICA DE DERECHOS HUMANOS K,2014-04-15,,,,Milani debió investigar en 1976 la desaparición de un conscripto,
http://www.clarin.com//politica/Kicillof-resultados-viaje-FMI-buscamos_0_1120687935.html,,EL MINISTRO MINIMIZÓ SU PARTICIPACIÓN EN LA ASAMBLEA DEL FONDO EN WASHINGTON,2014-04-15,,,,Kicillof: “No hay resultados del viaje al FMI porque no buscamos nada”,
http://www.clarin.com//mundo/Sospechan-incendio-Valparaiso-obra-humana_0_1120687958.html,,TRAGEDIA EN CHILE,2014-04-15,,,,Sospechan que el incendio en Valparaíso fue obra humana,
http://www.clarin.com//mundo/incendio-arraso-ciudad-muertos-evacuados_0_1120087984.html,,TRAGEDIA CHILENA,2014-04-14,,,,Un incendio arrasó la ciudad: 14 muertos y 10.000 evacuados,
http://www.clarin.com//sociedad/hombres-buscan-borrarse-arrugas-panza_0_1120687972.html,,TENDENCIA,2014-04-15,,,,Los hombres buscan cada vez más borrarse arrugas y panza,
http://www.clarin.com//politica/Gobierno-busca-ponerle-techo-inflacion_0_1120087989.html,,LA PUJA POR LOS INGRESOS,2014-04-14,,,,El Gobierno busca ponerle un techo del 30% a la inflación,
http://www.clarin.com//politica/Murio-Laclau-referente-intelectual-kirchnerismo_0_1120088001.html,,RECONOCIDO EN EL MUNDO ACADÉMICO EUROPEO,2014-04-14,,,,"Murió Laclau, el mayor referente intelectual del kirchnerismo",
